# timestep  xRg^2        yRg^2           zRg^2           Rg^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  26400000   5.9418694318  13.2152370448  22.2739476991  41.4310541757   1.8936512100   4.4331302500 223.4824674489 229.8092489089   0.2953551171   0.3650090340   0.3591741208   1.0195382719
  26500000  10.8665144641   5.1359440475  10.8801771457  26.8826356572  90.6932428900   3.2302872900 151.4841562521 245.4076864321   0.3355158245   0.3429930734   0.3615286382   1.0400375362
  26600000   6.0362977703  10.7099896369  13.1370133602  29.8833007674  74.0856132900  30.8835832900  11.6124192900 116.5816158700   0.3107191500   0.3761365910   0.3339696431   1.0208253841
  26700000  10.6321188297  80.6868476823  18.6568507081 109.9758172201 110.7082752400 583.3046128900  39.9411360100 733.9540241400   0.3420421244   0.3882899318   0.3151126544   1.0454447107
  26800000   3.9269810923  22.0718318179   5.9575521923  31.9563651026  15.1492208400 120.9692019600  51.9365248900 188.0549476900   0.3599279545   0.3822210107   0.2853926938   1.0275416591
  26900000   7.3733846397  42.5250840790  24.1273733750  74.0258420937   1.2939062500 453.0469680100 124.1923021056 578.5331763656   0.3014377342   0.3618946282   0.3507786138   1.0141109762
  27000000  12.3244590271  16.9931504955   3.2639770597  32.5815865822  12.2045422500 171.0497779600  32.5865155716 215.8408357816   0.3478304328   0.3591844224   0.3053430582   1.0123579135
  27100000  15.3922258617  14.8589559932  11.1271343660  41.3783162209  87.1179556900  78.0148227600  26.1366337600 191.2694122100   0.3450520534   0.3850610604   0.2900776529   1.0201907668
  27200000  36.0297564871  13.3888657826  25.6875195166  75.1061417863 123.0613048900 105.9273224100 206.6866275600 435.6752548600   0.3126338967   0.3322526712   0.3841056339   1.0289922017
  27300000  13.4315356012  29.7290628839  18.1089971324  61.2695956175  46.5669760000 257.0474692900 245.9662125561 549.5806578461   0.3746908671   0.3006159177   0.3397236166   1.0150304013
  27400000  14.7974591443  15.2465901190  15.6751975316  45.7192467948   0.2479044100  42.9811360000   1.5119161600  44.7409565700   0.3454399433   0.3420814422   0.3376460792   1.0251674647
  27500000  13.9898752307  18.4693756637  39.6366706305  72.0959215249 148.1965369600 205.6298640400  58.3288095289 412.1552105289   0.3833635743   0.3063995412   0.3305405886   1.0203037042
  27600000  50.0917344626  37.7245239319  22.8532847135 110.6695431080 417.6341832100 236.0402049600 284.1648546961 937.8392428661   0.3508205722   0.3421799725   0.3058618619   0.9988624067
  27700000   6.7214638991  49.6094673919   3.3489443639  59.6798756548  19.4798649600 282.5727380100  81.4217475600 383.4743505300   0.2868527010   0.4017648247   0.3664076360   1.0550251617
  27800000   5.1773739756  21.2038158018  19.2335055393  45.6146953167  64.5323022400  76.6307652100 253.6798409289 394.8429083789   0.3624773081   0.3449498864   0.3386687727   1.0460959672
  27900000   9.8157809254  17.4252653430  15.5935157492  42.8345620176   6.3342822400  13.7670681600 174.2869951684 194.3883455684   0.3072554556   0.3273279475   0.4017591371   1.0363425401
  28000000  73.3516914274   5.4753886854  11.4327377635  90.2598178762 696.5798918400   0.2837692900 151.1925996816 848.0562608116   0.3656053798   0.3381837470   0.3322145253   1.0360036521
  28100000  10.7184860759   4.7766544133  14.3085555472  29.8036960364  17.7780289600   5.5413160000  34.9816651209  58.3010100809   0.3770445743   0.2726363424   0.3802643672   1.0299452840
  28200000  43.1563128786  46.4465163536   5.2375970340  94.8404262661 160.4047580100 446.7135873600   0.0824149264 607.2007602964   0.3363383284   0.3926297535   0.2995664148   1.0285344968
  28300000   5.8283434760  11.6809664202   3.7467208879  21.2560307841   0.0043164900  52.8703494400  38.4916013056  91.3662672356   0.3913331443   0.3411072212   0.2936973167   1.0261376823
  28400000   2.6217110831  28.0735540034  13.1158205549  43.8110856414   9.2507222500  72.9982272100   5.7468075625  87.9957570225   0.3555808603   0.4000308047   0.3147295238   1.0703411888
  28500000  11.9271961703  42.4759139337  15.2359084076  69.6390185115   1.8779961600 439.6737985600  58.5745315600 500.1263262800   0.3395748820   0.3036595448   0.4032415661   1.0464759930
  28600000  27.7219351365  28.8434182474  11.4846502155  68.0500035995  96.7016556900 368.3866035600 114.6698305600 579.7580898100   0.3644055799   0.3301283299   0.3221053558   1.0166392656
  28700000  10.8782499274   6.4136485612  11.9350592061  29.2269576948 130.0238478400  29.3655610000  39.9676840000 199.3570928400   0.3247967220   0.3348778693   0.3729791927   1.0326537840
  28800000   1.7491506204  28.8189546645  10.5652922931  41.1333975780   0.0004284900 103.5957552400  14.7994090000 118.3955927300   0.3250508777   0.3788941723   0.3311724891   1.0351175391
  28900000   9.0128021769  14.4863119052  14.5446929677  38.0438070499  61.3966273600  31.0304702500  42.4426190400 134.8697166500   0.3722259424   0.3277557918   0.3539195693   1.0539013035
  29000000  21.0029583218   4.2202870801  10.5525131497  35.7757585516   0.1314787600  97.2669337600  59.0730588100 156.4714713300   0.3331809782   0.3823907030   0.3200832773   1.0356549585
