# timestep  xRg^2        yRg^2           zRg^2           Rg,xy^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  109600000   4.8067438038  28.1001760045   0.0000000000  32.9069198083   0.5280347556 270.7439884900  22.8138059044 294.0858291500   0.2954867863   0.4534317714   0.2936709077   1.0425894654
  109700000  14.9539349437  10.8646515685   0.0000000000  25.8185865122   0.0022581504  36.9518094400  44.1529683529  81.1070359433   0.3589229813   0.3701156071   0.3014381669   1.0304767553
  109800000  29.8207421342   8.1175312698   0.0000000000  37.9382734040  10.4733787876  65.4157440000  21.2603988100  97.1495215976   0.3503013778   0.4017206398   0.3021162454   1.0541382630
  109900000  54.6004159769  10.2906129561   0.0000000000  64.8910289330 751.9666324401  34.5414798400   2.0591102016 788.5672224817   0.4177180800   0.3494492945   0.2791834786   1.0463508532
  110000000  26.4483435539   9.9736712419   0.0000000000  36.4220147957 277.6172454225 103.8014568900  38.2752568900 419.6939592025   0.3399393992   0.3408586829   0.3477504664   1.0285485485
  110100000   7.1567597854   7.6165626377   0.0000000000  14.7733224230   1.6362349557  52.9852968100  12.8830744900  67.5046062557   0.3547596793   0.3517121270   0.3210426490   1.0275144553
  110200000  11.7564037381  16.1485826213   0.0000000000  27.9049863593  45.2264320036  70.9452444100  37.0381788100 153.2098552236   0.3266492921   0.3665011906   0.3324501479   1.0256006306
  110300000  39.0116610418  36.4366433782   0.0000000000  75.4483044200 379.8753023521 315.9684002500 289.7886573124 985.6323599145   0.3667887902   0.3241247165   0.3402367899   1.0311502965
  110400000   8.3171063077  35.3704106058   0.0000000000  43.6875169135  26.8430718609 497.6513256100  58.7546011740 583.2489986449   0.3586534916   0.3231778351   0.3450271210   1.0268584477
  110500000   4.0954842756  18.5680022684   0.0000000000  22.6634865440   0.1110222400 161.9103553600   0.1562699961 162.1776475961   0.3201655929   0.3860159743   0.3202814568   1.0264630240
  110600000  15.1425586656  43.5402104093   0.0000000000  58.6827690749   4.3226568100 309.9113784900   0.0034082244 314.2374435244   0.3141861444   0.3823431039   0.3517055114   1.0482347598
  110700000   8.7218117364  17.2903900057   0.0000000000  26.0122017421  20.2630521025  30.8069401600  97.5806133241 148.6506055866   0.3357215789   0.3714227186   0.3184216943   1.0255659918
  110800000 110.8028503477  57.2278600338   0.0000000000 168.0307103814 1115.5199203600 500.1306049600  69.9712174144 1685.6217427344   0.3416415383   0.3569029176   0.3443537217   1.0428981776
  110900000  11.1677273631   6.7017072007   0.0000000000  17.8694345639 130.5557612100   8.6377210000 201.9869130841 341.1803952941   0.3311749499   0.3404778030   0.3406149765   1.0122677294
  111000000  15.1592962185   8.0341340764   0.0000000000  23.1934302948 198.3838446144   4.2473088100 515.5905918244 718.2217452488   0.3538734233   0.3395126916   0.3257840546   1.0191701694
  111100000   3.9447335910   7.7323405892   0.0000000000  11.6770741802   3.5351520400  18.3998102500 262.2764055025 284.2113677925   0.3362131335   0.3528375243   0.3411539840   1.0302046419
  111200000   7.6683653239   6.5873288727   0.0000000000  14.2556941966   4.2998169600   0.1104232900 697.5319412889 701.9421815389   0.3337137327   0.3459216702   0.3578095380   1.0374449409
  111300000   2.3858499934  47.4738844820   0.0000000000  49.8597344754   0.7145320900 296.4870734400 575.7816207025 872.9832262325   0.3278605779   0.3676266038   0.3303173170   1.0258044987
  111400000  13.1594766775  16.8580691493   0.0000000000  30.0175458268  72.5699534400  90.3355202500  88.7137934400 251.6192671300   0.3786880596   0.3260305787   0.3308937407   1.0356123790
  111500000  10.4236700776  10.1089356385   0.0000000000  20.5326057161  33.1039129600  91.4815731600  11.3306292100 135.9161153300   0.2981123622   0.3455326463   0.3866321285   1.0302771370
  111600000   6.2250021294   6.4167432492   0.0000000000  12.6417453786   4.3685180100   2.5500896100  57.9927940900  64.9114017100   0.2932958662   0.3382811241   0.4154258413   1.0470028316
  111700000   8.2411596161  24.4248068412   0.0000000000  32.6659664573  80.0005024900 317.0251470400 119.6230000729 516.6486496029   0.3357096577   0.4077965949   0.2822006073   1.0257068599
  111800000   9.8862420617  15.2877171248   0.0000000000  25.1739591865   3.1762368400   4.4529440400  95.5345946724 103.1637755524   0.2894448222   0.3709666974   0.3990245970   1.0594361166
  111900000  51.3365413051  12.1408735637   0.0000000000  63.4774148688 388.3224948100  12.8314404100  24.4455091776 425.5994443976   0.3487522757   0.3887335225   0.3173905838   1.0548763820
  112000000   8.7229537349  26.9914240821   0.0000000000  35.7143778170   7.2248064100 131.2605576100 244.1021890129 382.5875530329   0.3556804645   0.3743215870   0.2888548897   1.0188569412
  112100000  68.5609162780   8.4031826599   0.0000000000  76.9640989379 316.4129440000  22.2868968100  31.1593938436 369.8592346536   0.3927195141   0.3217148043   0.3150342316   1.0294685501
  112200000  20.4741802091  28.5285771236   0.0000000000  49.0027573327  75.0111888100 366.5003936400   4.8257984329 446.3373808829   0.3527010474   0.3671179089   0.3001713287   1.0199902850
  112300000  15.9520190498 103.2707248650   0.0000000000 119.2227439148  96.3617089600 662.1409704100   3.5172001764 762.0198795464   0.3695530848   0.3840620256   0.2538559511   1.0074710615
  112400000  48.4515772293  42.2560618230   0.0000000000  90.7076390523 234.8341704900 478.5243750400  98.4484652944 811.8070108244   0.3274963694   0.3928029307   0.3094942633   1.0297935634
  112500000  42.0619034130   6.4576979571   0.0000000000  48.5196013701 602.5012068100   0.2550250000   9.2474985409 612.0037303509   0.3934058328   0.3429892200   0.2883228465   1.0247178993
  112600000  11.6821389663  88.9727028477   0.0000000000 100.6548418140  86.8642640100 658.2149424900  82.7544993025 827.8337058025   0.3160450443   0.3726250266   0.3460925175   1.0347625884
  112700000  41.0272577619  39.5929912033   0.0000000000  80.6202489652 206.3877024400 207.3427203600 379.9064876161 793.6369104161   0.4037473307   0.3243412042   0.3174882663   1.0455768012
  112800000   3.1203109262  15.5760537108   0.0000000000  18.6963646370   8.4059404900   0.7432164100   1.0811008576  10.2302577576   0.3599818868   0.3606064187   0.3261292209   1.0467175264
