# Time-averaged data for fix at1
# TimeStep c_cm[3] c_pfall
107440000 -9.98742 -2.20748
107450000 -7.66521 -2.00587
107460000 -2.84739 -2.07303
107470000 -10.4902 -2.07528
107480000 -9.21106 -2.23403
107490000 -12.6189 -2.39326
107500000 -13.5424 -2.16383
107510000 -17.7431 -2.1349
107520000 -15.1064 -2.62872
107530000 -14.372 -2.02574
107540000 -17.686 -2.28786
107550000 -9.07177 -2.15172
107560000 -7.99608 -2.45696
107570000 -19.948 -2.75696
107580000 -23.2878 -2.37248
107590000 -24.9489 -2.45953
107600000 -22.8839 -2.42589
107610000 -22.5488 -1.96158
107620000 -24.1416 -2.59681
107630000 -25.2633 -2.466
107640000 -25.4191 -2.81632
107650000 -20.8915 -1.89874
107660000 -20.8436 -2.07566
107670000 -22.7079 -2.41758
107680000 -18.8894 -2.39827
107690000 -25.2024 -2.72832
107700000 -23.867 -2.52474
107710000 -22.6078 -2.23853
107720000 -25.4846 -2.79544
107730000 -25.9503 -2.66706
107740000 -25.397 -2.67497
107750000 -19.9976 -2.08154
107760000 -14.6599 -2.14603
107770000 -22.6181 -2.59611
107780000 -16.4763 -2.1669
107790000 -20.579 -2.22647
107800000 -15.8385 -2.25728
107810000 -23.2645 -2.0945
107820000 -25.6816 -2.75166
107830000 -25.4294 -2.53286
107840000 -25.365 -2.47991
107850000 -22.9652 -2.3808
107860000 -18.4196 -2.22827
107870000 -21.3525 -2.29384
107880000 -12.3749 -2.19011
107890000 -18.8861 -2.31058
107900000 -21.8986 -2.46955
107910000 -24.9066 -2.16746
107920000 -23.4053 -2.51023
107930000 -24.2126 -2.353
107940000 -21.7667 -2.33384
107950000 -20.6962 -2.13454
107960000 -22.6874 -2.34268
107970000 -19.3792 -2.18865
107980000 -20.4053 -2.37101
107990000 -23.8134 -2.22792
108000000 -18.8304 -2.49524
108010000 -11.5353 -2.27751
108020000 -11.2721 -2.26987
108030000 -4.71186 -2.3143
108040000 -1.17847 -1.8989
108050000 -1.85326 -1.99498
108060000 -10.7691 -2.26432
108070000 -13.3538 -2.18891
108080000 -14.8423 -2.26963
108090000 -6.85265 -2.1336
108100000 -0.250768 -1.93631
108110000 4.27082 -0.3879
108120000 4.89003 -0.218911
108130000 4.8256 -0.413292
108140000 3.40056 -0.582837
108150000 5.10563 -0.460883
108160000 4.49586 -0.575094
108170000 2.81191 -1.12817
108180000 5.69858 -0.142788
108190000 3.35131 -0.776142
108200000 3.26022 -0.710739
108210000 5.01307 -0.179883
108220000 4.03253 -0.300309
108230000 5.59745 -0.547703
108240000 9.18311 0
108250000 3.7861 -0.451245
108260000 6.9391 -0.182791
108270000 17.3471 0
108280000 22.6075 0.0399655
108290000 19.3457 0
108300000 23.2864 0.046683
108310000 26.7529 0.0622038
108320000 19.4919 0.000875457
108330000 27.0933 0.0819626
108340000 25.3605 0.0351059
108350000 22.3714 0.00851316
108360000 25.1447 0.0369106
108370000 26.9796 0.0464795
108380000 22.3628 0.000502381
108390000 18.483 0
108400000 13.1159 0
108410000 6.63853 -0.197236
108420000 4.23352 -0.563071
108430000 3.16368 -0.821218
108440000 5.82134 -0.198267
108450000 10.5006 0
108460000 7.69644 -0.0496024
108470000 5.83384 -0.172217
108480000 7.01062 -0.0634807
108490000 3.04703 -0.85186
108500000 2.47811 -1.2557
108510000 3.14423 -0.911593
108520000 2.94016 -0.874374
108530000 6.91021 -0.0968605
108540000 8.39975 -0.00334345
108550000 9.25984 0
108560000 12.317 0
108570000 13.8088 0
108580000 15.4047 0
108590000 14.9978 0
108600000 12.543 0
108610000 9.41077 -0.00913414
108620000 7.29825 -0.0294217
108630000 11.9731 0
108640000 13.2631 0
108650000 8.90256 -0.0074984
108660000 8.54445 -0.0421298
108670000 18.1188 0
108680000 18.1081 0
108690000 17.1695 0
108700000 13.2275 0
108710000 16.1437 0
108720000 23.7329 0.00886513
108730000 25.8868 0.0351753
108740000 20.5813 0.000155188
108750000 25.614 0.0405715
108760000 25.8282 0.0245392
108770000 18.9539 0
108780000 18.0416 0
108790000 18.5529 0
108800000 17.8023 0
108810000 14.1125 0
108820000 9.51525 0
108830000 6.8007 -0.0938867
108840000 4.07135 -0.274723
108850000 3.15947 -0.913154
108860000 2.52028 -1.45312
108870000 9.53336 -0.00933111
108880000 12.0378 0
108890000 6.85437 0
108900000 10.8504 -0.00132805
108910000 11.0139 0
108920000 15.7511 0
108930000 15.2186 0
108940000 14.0424 0
108950000 7.91461 -0.0735944
108960000 2.30244 -1.57267
108970000 7.70201 -0.000127996
108980000 5.09121 -0.0357153
108990000 5.24183 -0.343257
109000000 11.0572 0
109010000 15.1997 0
109020000 15.9589 0
109030000 8.87023 -0.184935
109040000 7.10413 -0.0625895
109050000 8.20347 0
109060000 11.177 -0.0351211
109070000 18.4822 0
109080000 23.0971 0.0228961
109090000 24.6549 0.0066663
109100000 24.793 0.00275545
109110000 18.8986 0
109120000 20.1715 0
109130000 15.3084 0
109140000 16.4163 0
109150000 18.3916 0
109160000 25.1657 0.00116832
109170000 27.2001 0.0683196
109180000 25.0939 0.00799511
109190000 25.4925 0.0382575
109200000 23.1393 0.000259603
109210000 25.2045 0.0259857
109220000 20.0416 0
109230000 20.1105 0
109240000 16.2248 0
109250000 10.9403 0
109260000 9.46017 -0.0592758
109270000 8.186 -0.000712864
109280000 1.72068 -1.19264
109290000 -6.86813 -2.37883
109300000 -8.27474 -2.26227
109310000 -10.2162 -1.93645
109320000 -13.8954 -2.33823
109330000 -13.3553 -2.32216
109340000 -3.5215 -2.4117
109350000 -8.12381 -2.05039
109360000 -9.09393 -2.31755
109370000 -10.5969 -2.22536
109380000 -13.6739 -2.20801
109390000 -4.61242 -2.49294
109400000 -4.97555 -2.25433
109410000 -1.13366 -1.99316
109420000 -5.57513 -2.29564
109430000 -1.64662 -2.15249
109440000 -1.76632 -1.84562
109450000 -0.874294 -1.91221
109460000 -1.43604 -1.84047
109470000 4.8807 -0.173829
109480000 7.68687 -0.0796376
109490000 13.4876 0
109500000 13.3721 0
109510000 16.4221 0
109520000 18.4708 0
109530000 20.5238 0
109540000 19.4611 0
109550000 23.5308 0
109560000 26.998 0.101437
109570000 26.7228 0.0256095
109580000 25.522 0.0581024
109590000 17.4188 0.0081153
109600000 13.6925 0
109610000 14.4527 0
109620000 20.6346 0
109630000 25.1888 0.0727904
109640000 19.8383 0
109650000 18.2886 0
109660000 17.0598 0
109670000 12.2602 0
109680000 10.3359 0
109690000 13.6977 0
109700000 20.0304 0.000179439
109710000 21.8507 0.00702971
109720000 22.916 0.00944611
109730000 25.6739 0.0558429
109740000 25.0368 0.0507438
109750000 18.8524 0
109760000 19.4355 0
109770000 15.875 0
109780000 11.1804 -0.00445899
109790000 9.01831 -0.102292
109800000 20.1937 0
109810000 24.3777 0.0134933
109820000 21.6389 0.00232396
109830000 16.7554 0
109840000 21.0121 0
109850000 15.8724 0
109860000 18.1307 0
109870000 21.8003 0
109880000 24.1703 0.0163905
109890000 17.3493 0
109900000 15.975 0
109910000 12.4522 0
109920000 18.6607 0
109930000 24.8124 0.00168892
109940000 24.7455 0.078595
109950000 21.1144 0
109960000 16.462 0
109970000 19.2304 0
109980000 23.2914 0.0362241
109990000 25.2275 0.0280388
110000000 23.9344 1.06327e-05
110010000 22.8625 0.00187184
110020000 20.3206 0.000586892
110030000 18.8036 0
110040000 22.3538 0
110050000 24.2442 0.000460172
110060000 25.3423 0.0386531
110070000 24.7994 0.0345291
110080000 25.8582 0.0428878
110090000 26.9586 0.047148
110100000 19.9094 0
110110000 12.0201 0
110120000 10.8056 0
110130000 13.1484 0
110140000 10.3435 0
110150000 10.9386 0
110160000 8.17073 0
110170000 4.29626 -0.646989
110180000 4.74796 -0.193366
110190000 4.55873 -0.320858
110200000 6.59108 -0.0577104
110210000 10.2657 -0.00075769
110220000 5.70619 -0.269082
110230000 3.18395 -1.08737
110240000 7.95904 -0.0058492
110250000 5.65541 -0.611879
110260000 2.65892 -1.22597
110270000 10.2848 -0.170534
110280000 23.9451 0.000366766
110290000 23.7483 0.000629165
110300000 19.091 0
110310000 22.2045 0.00742759
110320000 20.4566 0
110330000 14.3383 0
110340000 16.2337 0
110350000 17.5564 0
110360000 18.8228 0
110370000 20.6578 0
110380000 19.9094 0
110390000 10.0595 0
110400000 14.0645 0
110410000 23.3148 0
110420000 27.0291 0.0843524
110430000 26.4441 0.0547448
110440000 26.9961 0.139405
110450000 24.863 0.0145002
110460000 20.7327 0
110470000 15.5067 0
110480000 14.0623 0
110490000 10.1053 0
110500000 13.9746 0
110510000 17.4259 0
110520000 18.0992 0
110530000 21.9834 0
110540000 25.9253 0.0449355
110550000 24.4904 0
110560000 21.9939 0
110570000 23.5652 2.24315e-06
110580000 25.4033 0.00875168
110590000 25.6347 0.0327068
110600000 22.2384 0
110610000 12.496 0
110620000 14.6693 0
110630000 18.6555 0
110640000 15.2301 0
110650000 14.5779 0
110660000 26.1434 0.0616287
110670000 27.1295 0.0344459
110680000 26.7735 0.135959
110690000 20.5898 0
110700000 20.9502 0
110710000 21.8569 0.0228349
110720000 19.3892 0
110730000 16.6199 0
110740000 21.8631 0
110750000 22.1668 0.0146756
110760000 21.704 0
110770000 23.9297 0.0194842
110780000 25.7708 0.0371218
110790000 24.7857 0.0392228
110800000 24.0329 0.02066
110810000 14.5407 0
110820000 9.04105 -0.000156879
110830000 4.78907 -0.278258
110840000 6.71425 -0.0684838
110850000 15.2546 0
110860000 21.1564 0
110870000 23.9767 0.0111567
110880000 26.6365 0.0254993
110890000 26.4351 0.0421949
110900000 26.4564 0.0246976
110910000 27.4825 0.116052
110920000 24.4508 0.00212848
110930000 27.1796 0.08469
110940000 18.9118 0
110950000 13.0791 0
110960000 8.73245 -0.206857
110970000 3.85055 -0.822517
110980000 7.30961 -0.0155379
110990000 11.2993 0
111000000 8.3351 -0.00710327
111010000 9.65199 0
111020000 10.1053 0
111030000 16.9004 0
111040000 17.3604 0
111050000 22.4616 0.0591193
111060000 26.5209 0.0116039
111070000 26.7195 0.0455645
111080000 24.2497 0.00155813
111090000 23.4893 0.0104369
111100000 17.4601 0
111110000 19.1903 0
111120000 24.8577 0.0580761
111130000 24.5546 0.00313808
111140000 22.8141 0
111150000 24.9194 0.00922833
111160000 24.2477 0.0078659
111170000 21.2388 0
111180000 19.9914 0.00113298
111190000 15.369 0
111200000 10.1309 0
111210000 15.1026 0
